date,region,confirmed,image
2020-03-31,Győr-Moson-Sopron,26,map_2020-04-01 08:48:16.056397.png
2020-03-31,Komárom-Esztergom,12,map_2020-04-01 08:48:16.056397.png
2020-03-31,Budapest,232,map_2020-04-01 08:48:16.056397.png
2020-03-31,Pest,98,map_2020-04-01 08:48:16.056397.png
2020-03-31,Nógrád,5,map_2020-04-01 08:48:16.056397.png
2020-03-31,Heves,3,map_2020-04-01 08:48:16.056397.png
2020-03-31,Borsod-Abaúj-Zemplén,6,map_2020-04-01 08:48:16.056397.png
2020-03-31,Szabolcs-Szatmár-Bereg,25,map_2020-04-01 08:48:16.056397.png
2020-03-31,Vas,9,map_2020-04-01 08:48:16.056397.png
2020-03-31,Veszprém,10,map_2020-04-01 08:48:16.056397.png
2020-03-31,Fejér,13,map_2020-04-01 08:48:16.056397.png
2020-03-31,Jász-Nagykun-Szolnok,5,map_2020-04-01 08:48:16.056397.png
2020-03-31,Hajdú-Bihar,9,map_2020-04-01 08:48:16.056397.png
2020-03-31,Zala,7,map_2020-04-01 08:48:16.056397.png
2020-03-31,Somogy,11,map_2020-04-01 08:48:16.056397.png
2020-03-31,Tolna,7,map_2020-04-01 08:48:16.056397.png
2020-03-31,Baranya,19,map_2020-04-01 08:48:16.056397.png
2020-03-31,Bács-Kiskun,8,map_2020-04-01 08:48:16.056397.png
2020-03-31,Csongrád,17,map_2020-04-01 08:48:16.056397.png
2020-03-31,Békés,3,map_2020-04-01 08:48:16.056397.png
2020-04-01,Győr-Moson-Sopron,28,latest_terkep.png
2020-04-01,Komárom-Esztergom,13,latest_terkep.png
2020-04-01,Pest,122,latest_terkep.png
2020-04-01,Budapest,243,latest_terkep.png
2020-04-01,Fejér,18,latest_terkep.png
2020-04-01,Veszprém,10,latest_terkep.png
2020-04-01,Vas,9,latest_terkep.png
2020-04-01,Zala,7,latest_terkep.png
2020-04-01,Somogy,11,latest_terkep.png
2020-04-01,Tolna,7,latest_terkep.png
2020-04-01,Baranya,19,latest_terkep.png
2020-04-01,Bács-Kiskun,15,latest_terkep.png
2020-04-01,Nógrád,6,latest_terkep.png
2020-04-01,Heves,3,latest_terkep.png
2020-04-01,Jász-Nagykun-Szolnok,7,latest_terkep.png
2020-04-01,Csongrád,21,latest_terkep.png
2020-04-01,Borsod-Abaúj-Zemplén,6,latest_terkep.png
2020-04-01,Szabolcs-Szatmár-Bereg,27,latest_terkep.png
2020-04-01,Hajdú-Bihar,10,latest_terkep.png
2020-04-01,Békés,3,latest_terkep.png
